pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,1076
0,-54,5000,938
0,-54,5500,817
0,-54,6000,713
0,-50,4500,1076
0,-50,5000,931
0,-50,5500,816
0,-50,6000,716
0,-40,4500,1075
0,-40,5000,931
0,-40,5500,816
0,-40,6000,716
0,-30,4500,1074
0,-30,5000,930
0,-30,5500,816
0,-30,6000,715
0,-20,4500,1069
0,-20,5000,932
0,-20,5500,814
0,-20,6000,714
0,-10,4500,1075
0,-10,5000,927
0,-10,5500,813
0,-10,6000,713
0,0,4500,1076
0,0,5000,925
0,0,5500,811
0,0,6000,711
0,10,4500,1010
0,10,5000,869
0,10,5500,759
0,10,6000,658
2000,-54,4500,1054
2000,-54,5000,918
2000,-54,5500,799
2000,-54,6000,700
2000,-50,4500,1057
2000,-50,5000,918
2000,-50,5500,798
2000,-50,6000,697
2000,-40,4500,1057
2000,-40,5000,914
2000,-40,5500,798
2000,-40,6000,699
2000,-30,4500,1055
2000,-30,5000,916
2000,-30,5500,797
2000,-30,6000,698
2000,-20,4500,1054
2000,-20,5000,912
2000,-20,5500,796
2000,-20,6000,697
2000,-10,4500,1049
2000,-10,5000,914
2000,-10,5500,795
2000,-10,6000,696
2000,0,4500,1053
2000,0,5000,911
2000,0,5500,792
2000,0,6000,694
4000,-54,4500,1031
4000,-54,5000,898
4000,-54,5500,777
4000,-54,6000,680
4000,-50,4500,1031
4000,-50,5000,898
4000,-50,5500,777
4000,-50,6000,680
4000,-40,4500,1034
4000,-40,5000,894
4000,-40,5500,777
4000,-40,6000,682
4000,-30,4500,1032
4000,-30,5000,892
4000,-30,5500,775
4000,-30,6000,681
4000,-20,4500,1027
4000,-20,5000,891
4000,-20,5500,774
4000,-20,6000,680
4000,-10,4500,1029
4000,-10,5000,889
4000,-10,5500,772
4000,-10,6000,676
4000,0,4500,1024
4000,0,5000,885
4000,0,5500,774
4000,0,6000,674
4000,10,4500,787
4000,10,5000,673
4000,10,5500,575
4000,10,6000,479
6000,-54,4500,956
6000,-54,5000,831
6000,-54,5500,725
6000,-54,6000,631
6000,-50,4500,963
6000,-50,5000,831
6000,-50,5500,725
6000,-50,6000,628
6000,-40,4500,957
6000,-40,5000,829
6000,-40,5500,721
6000,-40,6000,627
6000,-30,4500,956
6000,-30,5000,828
6000,-30,5500,721
6000,-30,6000,629
6000,-20,4500,952
6000,-20,5000,827
6000,-20,5500,722
6000,-20,6000,625
6000,-10,4500,960
6000,-10,5000,825
6000,-10,5500,720
6000,-10,6000,624
6000,0,4500,885
6000,0,5000,760
6000,0,5500,655
6000,0,6000,565
6000,10,4500,657
6000,10,5000,558
6000,10,5500,471
6000,10,6000,382
8000,-54,4500,876
8000,-54,5000,754
8000,-54,5500,650
8000,-54,6000,565
8000,-50,4500,875
8000,-50,5000,754
8000,-50,5500,650
8000,-50,6000,565
8000,-40,4500,874
8000,-40,5000,753
8000,-40,5500,649
8000,-40,6000,565
8000,-30,4500,873
8000,-30,5000,755
8000,-30,5500,651
8000,-30,6000,564
8000,-20,4500,872
8000,-20,5000,754
8000,-20,5500,650
8000,-20,6000,559
8000,-10,4500,870
8000,-10,5000,752
8000,-10,5500,648
8000,-10,6000,562
8000,0,4500,743
8000,0,5000,631
8000,0,5500,540
8000,0,6000,450
8000,10,4500,536
8000,10,5000,444
8000,10,5500,364
8000,10,6000,282
10000,-54,4500,792
10000,-54,5000,679
10000,-54,5500,581
10000,-54,6000,496
10000,-50,4500,795
10000,-50,5000,676
10000,-50,5500,583
10000,-50,6000,496
10000,-40,4500,794
10000,-40,5000,678
10000,-40,5500,580
10000,-40,6000,495
10000,-30,4500,793
10000,-30,5000,677
10000,-30,5500,580
10000,-30,6000,494
10000,-20,4500,792
10000,-20,5000,676
10000,-20,5500,579
10000,-20,6000,494
10000,-10,4500,789
10000,-10,5000,671
10000,-10,5500,579
10000,-10,6000,492
10000,0,4500,614
10000,0,5000,519
10000,0,5500,434
10000,0,6000,346
10000,10,4500,422
10000,10,5000,342
10000,10,5500,266
10000,10,6000,191
12000,-54,4500,707
12000,-54,5000,604
12000,-54,5500,510
12000,-54,6000,423
12000,-50,4500,707
12000,-50,5000,601
12000,-50,5500,510
12000,-50,6000,423
12000,-40,4500,706
12000,-40,5000,601
12000,-40,5500,510
12000,-40,6000,423
12000,-30,4500,708
12000,-30,5000,598
12000,-30,5500,510
12000,-30,6000,423
12000,-20,4500,705
12000,-20,5000,593
12000,-20,5500,507
12000,-20,6000,422
12000,-10,4500,675
12000,-10,5000,567
12000,-10,5500,476
12000,-10,6000,381
12000,0,4500,482
12000,0,5000,396
12000,0,5500,316
12000,0,6000,237
12000,10,4500,304
12000,10,5000,235
12000,10,5500,164
12000,10,6000,97
14000,-54,4500,622
14000,-54,5000,524
14000,-54,5500,440
14000,-54,6000,353
14000,-50,4500,622
14000,-50,5000,524
14000,-50,5500,440
14000,-50,6000,352
14000,-40,4500,619
14000,-40,5000,524
14000,-40,5500,439
14000,-40,6000,352
14000,-30,4500,618
14000,-30,5000,523
14000,-30,5500,439
14000,-30,6000,352
14000,-20,4500,619
14000,-20,5000,520
14000,-20,5500,438
14000,-20,6000,351
14000,-10,4500,539
14000,-10,5000,444
14000,-10,5500,358
14000,-10,6000,273
14000,0,4500,362
14000,0,5000,287
14000,0,5500,209
14000,0,6000,138
16000,-54,4500,540
16000,-54,5000,448
16000,-54,5500,368
16000,-54,6000,285
16000,-50,4500,540
16000,-50,5000,446
16000,-50,5500,367
16000,-50,6000,285
