pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,1052
0,-54,5000,929
0,-54,5500,820
0,-54,6000,727
0,-50,4500,1051
0,-50,5000,929
0,-50,5500,819
0,-50,6000,727
0,-40,4500,1050
0,-40,5000,928
0,-40,5500,818
0,-40,6000,726
0,-30,4500,1049
0,-30,5000,927
0,-30,5500,817
0,-30,6000,732
0,-20,4500,1055
0,-20,5000,924
0,-20,5500,815
0,-20,6000,730
0,-10,4500,1053
0,-10,5000,922
0,-10,5500,813
0,-10,6000,728
0,0,4500,1050
0,0,5000,919
0,0,5500,818
0,0,6000,726
0,10,4500,1010
0,10,5000,883
0,10,5500,777
0,10,6000,694
0,20,4500,852
0,20,5000,739
0,20,5500,645
0,20,6000,571
0,30,4500,715
0,30,5000,613
0,30,5500,528
0,30,6000,456
0,40,4500,598
0,40,5000,505
0,40,5500,422
0,40,6000,356
0,50,4500,488
0,50,5000,397
0,50,5500,325
0,50,6000,260
2000,-54,4500,1042
2000,-54,5000,911
2000,-54,5500,804
2000,-54,6000,719
2000,-50,4500,1041
2000,-50,5000,911
2000,-50,5500,803
2000,-50,6000,719
2000,-40,4500,1040
2000,-40,5000,910
2000,-40,5500,810
2000,-40,6000,718
2000,-30,4500,1037
2000,-30,5000,907
2000,-30,5500,808
2000,-30,6000,716
2000,-20,4500,1035
2000,-20,5000,906
2000,-20,5500,806
2000,-20,6000,715
2000,-10,4500,1033
2000,-10,5000,912
2000,-10,5500,805
2000,-10,6000,713
2000,0,4500,1029
2000,0,5000,909
2000,0,5500,801
2000,0,6000,711
2000,10,4500,942
2000,10,5000,819
2000,10,5500,718
2000,10,6000,639
2000,20,4500,797
2000,20,5000,687
2000,20,5500,596
2000,20,6000,518
2000,30,4500,663
2000,30,5000,565
2000,30,5500,483
2000,30,6000,412
2000,40,4500,547
2000,40,5000,457
2000,40,5500,381
2000,40,6000,316
2000,45,4500,495
2000,45,5000,403
2000,45,5500,330
2000,45,6000,268
4000,-54,4500,1019
4000,-54,5000,892
4000,-54,5500,793
4000,-54,6000,703
4000,-50,4500,1019
4000,-50,5000,899
4000,-50,5500,793
4000,-50,6000,703
4000,-40,4500,1017
4000,-40,5000,898
4000,-40,5500,792
4000,-40,6000,702
4000,-30,4500,1014
4000,-30,5000,896
4000,-30,5500,789
4000,-30,6000,700
4000,-20,4500,1012
4000,-20,5000,894
4000,-20,5500,788
4000,-20,6000,698
4000,-10,4500,1019
4000,-10,5000,892
4000,-10,5500,786
4000,-10,6000,697
4000,0,4500,1021
4000,0,5000,892
4000,0,5500,785
4000,0,6000,702
4000,10,4500,873
4000,10,5000,757
4000,10,5500,667
4000,10,6000,585
4000,20,4500,736
4000,20,5000,631
4000,20,5500,544
4000,20,6000,470
4000,30,4500,618
4000,30,5000,516
4000,30,5500,437
4000,30,6000,369
4000,40,4500,504
4000,40,5000,416
4000,40,5500,338
4000,40,6000,275
6000,-54,4500,958
6000,-54,5000,838
6000,-54,5500,745
6000,-54,6000,660
6000,-50,4500,958
6000,-50,5000,837
6000,-50,5500,745
6000,-50,6000,660
6000,-40,4500,955
6000,-40,5000,835
6000,-40,5500,743
6000,-40,6000,658
6000,-30,4500,953
6000,-30,5000,841
6000,-30,5500,741
6000,-30,6000,657
6000,-20,4500,950
6000,-20,5000,839
6000,-20,5500,739
6000,-20,6000,655
6000,-10,4500,956
6000,-10,5000,836
6000,-10,5500,737
6000,-10,6000,659
6000,0,4500,916
6000,0,5000,806
6000,0,5500,707
6000,0,6000,624
6000,10,4500,784
6000,10,5000,677
6000,10,5500,588
6000,10,6000,512
6000,20,4500,653
6000,20,5000,556
6000,20,5500,476
6000,20,6000,407
6000,30,4500,547
6000,30,5000,452
6000,30,5500,378
6000,30,6000,310
6000,36,4500,480
6000,36,5000,395
6000,36,5500,319
6000,36,6000,258
8000,-54,4500,891
8000,-54,5000,784
8000,-54,5500,689
8000,-54,6000,608
8000,-50,4500,890
8000,-50,5000,776
8000,-50,5500,688
8000,-50,6000,608
8000,-40,4500,888
8000,-40,5000,782
8000,-40,5500,687
8000,-40,6000,607
8000,-30,4500,895
8000,-30,5000,780
8000,-30,5500,685
8000,-30,6000,605
8000,-20,4500,892
8000,-20,5000,778
8000,-20,5500,684
8000,-20,6000,604
8000,-10,4500,889
8000,-10,5000,775
8000,-10,5500,681
8000,-10,6000,607
8000,0,4500,826
8000,0,5000,716
8000,0,5500,624
8000,0,6000,546
8000,10,4500,700
8000,10,5000,600
8000,10,5500,516
8000,10,6000,445
8000,20,4500,583
8000,20,5000,491
8000,20,5500,414
8000,20,6000,348
8000,30,4500,479
8000,30,5000,389
8000,30,5500,318
8000,30,6000,253
8000,31,4500,468
8000,31,5000,379
8000,31,5500,308
8000,31,6000,244
10000,-54,4500,833
10000,-54,5000,724
10000,-54,5500,634
10000,-54,6000,557
10000,-50,4500,833
10000,-50,5000,724
10000,-50,5500,634
10000,-50,6000,557
10000,-40,4500,831
10000,-40,5000,722
10000,-40,5500,632
10000,-40,6000,556
10000,-30,4500,829
10000,-30,5000,721
10000,-30,5500,631
10000,-30,6000,560
10000,-20,4500,827
10000,-20,5000,726
10000,-20,5500,635
10000,-20,6000,558
10000,-10,4500,845
10000,-10,5000,734
10000,-10,5500,648
10000,-10,6000,569
10000,0,4500,740
10000,0,5000,637
10000,0,5500,550
10000,0,6000,477
10000,10,4500,626
10000,10,5000,531
10000,10,5500,451
10000,10,6000,378
10000,20,4500,515
10000,20,5000,428
10000,20,5500,350
10000,20,6000,287
10000,27,4500,436
10000,27,5000,355
10000,27,5500,286
10000,27,6000,223
12000,-54,4500,779
12000,-54,5000,675
12000,-54,5500,588
12000,-54,6000,514
12000,-50,4500,778
12000,-50,5000,674
12000,-50,5500,588
12000,-50,6000,514
12000,-40,4500,777
12000,-40,5000,673
12000,-40,5500,586
12000,-40,6000,513
12000,-30,4500,776
12000,-30,5000,672
12000,-30,5500,586
12000,-30,6000,512
12000,-20,4500,774
12000,-20,5000,670
12000,-20,5500,584
12000,-20,6000,511
12000,-10,4500,771
12000,-10,5000,665
12000,-10,5500,577
12000,-10,6000,502
12000,0,4500,658
12000,0,5000,561
12000,0,5500,474
12000,0,6000,406
12000,10,4500,543
12000,10,5000,454
12000,10,5500,380
12000,10,6000,316
12000,20,4500,438
12000,20,5000,357
12000,20,5500,288
12000,20,6000,229
12000,22,4500,418
12000,22,5000,337
12000,22,5500,270
12000,22,6000,211
14000,-54,4500,725
14000,-54,5000,625
14000,-54,5500,542
14000,-54,6000,472
14000,-50,4500,724
14000,-50,5000,625
14000,-50,5500,542
14000,-50,6000,471
14000,-40,4500,722
14000,-40,5000,623
14000,-40,5500,541
14000,-40,6000,470
14000,-30,4500,721
14000,-30,5000,622
14000,-30,5500,539
14000,-30,6000,469
14000,-20,4500,719
14000,-20,5000,620
14000,-20,5500,538
14000,-20,6000,468
14000,-10,4500,690
14000,-10,5000,591
14000,-10,5500,507
14000,-10,6000,431
14000,0,4500,578
14000,0,5000,481
14000,0,5500,406
14000,0,6000,341
14000,10,4500,469
14000,10,5000,386
14000,10,5500,316
14000,10,6000,255
14000,17,4500,398
14000,17,5000,319
14000,17,5500,254
14000,17,6000,196
16000,-54,4500,675
16000,-54,5000,579
16000,-54,5500,499
16000,-54,6000,431
16000,-50,4500,674
16000,-50,5000,579
16000,-50,5500,499
16000,-50,6000,431
16000,-40,4500,672
16000,-40,5000,577
16000,-40,5500,497
16000,-40,6000,429
16000,-30,4500,670
16000,-30,5000,575
16000,-30,5500,496
16000,-30,6000,428
16000,-20,4500,675
16000,-20,5000,579
16000,-20,5500,494
16000,-20,6000,426
16000,-10,4500,612
16000,-10,5000,518
16000,-10,5500,440
16000,-10,6000,368
16000,0,4500,500
16000,0,5000,415
16000,0,5500,344
16000,0,6000,282
16000,10,4500,400
16000,10,5000,317
16000,10,5500,251
16000,10,6000,195
16000,14,4500,361
16000,14,5000,281
16000,14,5500,217
16000,14,6000,162
18000,-54,4500,625
18000,-54,5000,534
18000,-54,5500,457
18000,-54,6000,392
18000,-50,4500,624
18000,-50,5000,533
18000,-50,5500,456
18000,-50,6000,391
18000,-40,4500,622
18000,-40,5000,531
18000,-40,5500,455
18000,-40,6000,390
18000,-30,4500,627
18000,-30,5000,535
18000,-30,5500,453
18000,-30,6000,388
18000,-20,4500,636
18000,-20,5000,542
18000,-20,5500,464
18000,-20,6000,397
18000,-10,4500,536
18000,-10,5000,448
18000,-10,5500,374
18000,-10,6000,311
18000,0,4500,434
18000,0,5000,353
18000,0,5500,285
18000,0,6000,223
18000,9,4500,354
18000,9,5000,273
18000,9,5500,206
18000,9,6000,151
20000,-54,4500,577
20000,-54,5000,489
20000,-54,5500,416
20000,-54,6000,353
20000,-50,4500,576
20000,-50,5000,488
20000,-50,5500,415
20000,-50,6000,352
20000,-40,4500,581
20000,-40,5000,487
20000,-40,5500,414
20000,-40,6000,351
20000,-30,4500,579
20000,-30,5000,491
20000,-30,5500,412
20000,-30,6000,350
20000,-20,4500,561
20000,-20,5000,467
20000,-20,5500,394
20000,-20,6000,331
20000,-10,4500,471
20000,-10,5000,382
20000,-10,5500,313
20000,-10,6000,250
20000,0,4500,378
20000,0,5000,296
20000,0,5500,231
20000,0,6000,172
20000,5,4500,334
20000,5,5000,254
20000,5,5500,191
20000,5,6000,134
22000,-56,4500,533
22000,-56,5000,449
22000,-56,5500,378
22000,-56,6000,318
22000,-50,4500,532
22000,-50,5000,448
22000,-50,5500,377
22000,-50,6000,317
22000,-40,4500,537
22000,-40,5000,452
22000,-40,5500,376
22000,-40,6000,316
22000,-30,4500,535
22000,-30,5000,450
22000,-30,5500,379
22000,-30,6000,314
22000,-20,4500,483
22000,-20,5000,401
22000,-20,5500,331
22000,-20,6000,272
22000,-10,4500,398
22000,-10,5000,320
22000,-10,5500,250
22000,-10,6000,194
22000,0,4500,308
22000,0,5000,235
22000,0,5500,170
22000,0,6000,117
24000,-58,4500,492
24000,-58,5000,411
24000,-58,5500,343
24000,-58,6000,284
24000,-50,4500,491
24000,-50,5000,410
24000,-50,5500,342
24000,-50,6000,283
24000,-40,4500,489
24000,-40,5000,408
24000,-40,5500,340
24000,-40,6000,282
24000,-30,4500,487
24000,-30,5000,406
24000,-30,5500,339
24000,-30,6000,281
24000,-20,4500,408
24000,-20,5000,331
24000,-20,5500,266
24000,-20,6000,210
24000,-10,4500,329
24000,-10,5000,257
24000,-10,5500,195
24000,-10,6000,141
24000,-4,4500,280
24000,-4,5000,207
24000,-4,5500,148
24000,-4,6000,96
26000,-59,4500,443
26000,-59,5000,366
26000,-59,5500,301
26000,-59,6000,245
26000,-50,4500,441
26000,-50,5000,364
26000,-50,5500,300
26000,-50,6000,244
26000,-40,4500,445
26000,-40,5000,368
26000,-40,5500,298
26000,-40,6000,243
26000,-30,4500,455
26000,-30,5000,379
26000,-30,5500,311
26000,-30,6000,252
26000,-20,4500,345
26000,-20,5000,272
26000,-20,5500,210
26000,-20,6000,156
26000,-10,4500,264
26000,-10,5000,197
26000,-10,5500,139
26000,-10,6000,88
26000,-8,4500,251
26000,-8,5000,184
26000,-8,5500,124
26000,-8,6000,76
28000,-61,4500,396
28000,-61,5000,323
28000,-61,5500,260
28000,-61,6000,207
28000,-60,4500,396
28000,-60,5000,323
28000,-60,5500,261
28000,-60,6000,207
28000,-50,4500,395
