weight,altitude,temperature,value
5550,0,0,2430
5550,0,10,2498
5550,0,20,2566
5550,0,30,2635
5550,0,40,2704
5550,1000,0,2498
5550,1000,10,2569
5550,1000,20,2641
5550,1000,30,2712
5550,1000,40,2784
5550,2000,0,2570
5550,2000,10,2644
5550,2000,20,2719
5550,2000,30,2793
5550,2000,40,2868
5550,3000,0,2646
5550,3000,10,2723
5550,3000,20,2800
5550,3000,30,2878
5550,4000,0,2725
5550,4000,10,2806
5550,4000,20,2886
5550,4000,30,2967
5550,5000,0,2809
5550,5000,10,2892
5550,5000,20,2976
5550,5000,30,3060
5550,6000,0,2896
5550,6000,10,2983
5550,6000,20,3071
5550,6000,30,3159
5550,7000,0,2988
5550,7000,10,3079
5550,7000,20,3170
5550,8000,0,3120
5550,8000,10,3216
5550,8000,20,3312
5550,9000,0,3286
5550,9000,10,3388
5550,9000,20,3490
5550,10000,0,3462
5550,10000,10,3570
4500,0,0,1755
4500,0,10,1811
4500,0,20,1867
4500,0,30,1924
4500,0,40,1980
4500,0,50,2037
4500,1000,0,1812
4500,1000,10,1870
4500,1000,20,1928
4500,1000,30,1987
4500,1000,40,2046
4500,1000,50,2105
4500,2000,0,1871
4500,2000,10,1932
4500,2000,20,1992
4500,2000,30,2053
4500,2000,40,2114
4500,2000,50,2175
4500,3000,0,1933
4500,3000,10,1996
4500,3000,20,2059
4500,3000,30,2122
4500,3000,40,2186
4500,4000,0,1998
4500,4000,10,2063
4500,4000,20,2129
4500,4000,30,2195
4500,4000,40,2261
4500,5000,0,2066
4500,5000,10,2134
4500,5000,20,2203
4500,5000,30,2271
4500,5000,40,2340
4500,6000,0,2137
4500,6000,10,2208
4500,6000,20,2280
4500,6000,30,2351
4500,6000,40,2422
4500,7000,0,2212
4500,7000,10,2286
4500,7000,20,2360
4500,7000,30,2434
4500,7000,40,2509
4500,8000,0,2317
4500,8000,10,2395
4500,8000,20,2473
4500,8000,30,2551
4500,9000,0,2448
4500,9000,10,2531
4500,9000,20,2614
4500,9000,30,2697
4500,10000,0,2586
4500,10000,10,2674
4500,10000,20,2762
4500,10000,30,2850
