weight,altitude,temperature,value
5550,0,-20,2667
5550,0,-10,2772
5550,0,0,2878
5550,0,10,2983
5550,1000,-20,2765
5550,1000,-10,2875
5550,1000,0,2984
5550,1000,10,3093
5550,2000,-20,2868
5550,2000,-10,2982
5550,2000,0,3095
5550,2000,10,3208
5550,3000,-20,2976
5550,3000,-10,3093
5550,3000,0,3211
5550,3000,10,3328
5550,4000,-20,3088
5550,4000,-10,3210
5550,4000,0,3332
5550,4000,10,3454
5550,5000,-20,3205
5550,5000,-10,3332
5550,5000,0,3458
5550,5000,10,3585
5550,6000,-20,3328
5550,6000,-10,3459
5550,6000,0,3591
5550,6000,10,3722
5550,7000,-20,3456
5550,7000,-10,3593
5550,7000,0,3729
5550,7000,10,3866
5550,8000,-20,3632
5550,8000,-10,3776
5550,8000,0,3919
5550,8000,10,4063
5550,9000,-20,3849
5550,9000,-10,4001
5550,9000,0,4153
5550,9000,10,4305
5550,10000,-20,4078
5550,10000,-10,4239
5550,10000,0,4400
5550,10000,10,4561
4500,0,-20,2162
4500,0,-10,2248
4500,0,0,2333
4500,0,10,2419
4500,1000,-20,2242
4500,1000,-10,2331
4500,1000,0,2419
4500,1000,10,2508
4500,2000,-20,2326
4500,2000,-10,2417
4500,2000,0,2509
4500,2000,10,2601
4500,3000,-20,2413
4500,3000,-10,2508
4500,3000,0,2603
4500,3000,10,2699
4500,4000,-20,2504
4500,4000,-10,2603
4500,4000,0,2702
4500,4000,10,2800
4500,5000,-20,2599
4500,5000,-10,2702
4500,5000,0,2804
4500,5000,10,2907
4500,6000,-20,2698
4500,6000,-10,2805
4500,6000,0,2912
4500,6000,10,3018
4500,7000,-20,2802
4500,7000,-10,2913
4500,7000,0,3024
4500,7000,10,3134
4500,8000,-20,2945
4500,8000,-10,3061
4500,8000,0,3178
4500,8000,10,3294
4500,9000,-20,3121
4500,9000,-10,3244
4500,9000,0,3367
4500,9000,10,3491
4500,10000,-20,3307
4500,10000,-10,3437
4500,10000,0,3568
4500,10000,10,3698
