distance,depth,value
1200,0.0,1200
1200,0.125,2190
1200,0.2,1870
1200,0.3,1740
1200,0.4,1630
1200,0.5,1540
1400,0.0,1400
1400,0.125,2550
1400,0.2,2180
1400,0.3,2030
1400,0.4,1910
1400,0.5,1800
1600,0.0,1600
1600,0.125,2920
1600,0.2,2500
1600,0.3,2310
1600,0.4,2180
1600,0.5,2060
1800,0.0,1800
1800,0.125,3280
1800,0.2,2810
1800,0.3,2600
1800,0.4,2450
1800,0.5,2310
2000,0.0,2000
2000,0.125,3650
2000,0.2,3120
2000,0.3,2890
2000,0.4,2720
2000,0.5,2570
2200,0.0,2200
2200,0.125,4010
2200,0.2,3430
2200,0.3,3180
2200,0.4,2990
2200,0.5,2830
2400,0.0,2400
2400,0.125,4370
2400,0.2,3740
2400,0.3,3470
2400,0.4,3260
2400,0.5,3080
2600,0.0,2600
2600,0.125,4740
2600,0.2,4050
2600,0.3,3760
2600,0.4,3540
2600,0.5,3340
2800,0.0,2800
2800,0.125,5100
2800,0.2,4360
2800,0.3,4050
2800,0.4,3810
2800,0.5,3590
3000,0.0,3000
3000,0.125,5470
3000,0.2,4670
3000,0.3,4330
3000,0.4,4080
3000,0.5,3850
3200,0.0,3200
3200,0.125,5830
3200,0.2,4990
3200,0.3,4620
3200,0.4,4350
3200,0.5,4110
3400,0.0,3400
3400,0.125,6200
3400,0.2,5300
3400,0.3,4910
3400,0.4,4620
3400,0.5,4360
3600,0.0,3600
3600,0.125,6560
3600,0.2,5610
3600,0.3,5200
3600,0.4,4890
3600,0.5,4620
3800,0.0,3800
3800,0.125,6920
3800,0.2,5920
3800,0.3,5490
3800,0.4,5170
3800,0.5,4880
4000,0.0,4000
4000,0.125,7290
4000,0.2,6230
4000,0.3,5780
4000,0.4,5440
4000,0.5,5130
4200,0.0,4200
4200,0.125,7650
4200,0.2,6540
4200,0.3,6070
4200,0.4,5710
4200,0.5,5390
4400,0.0,4400
4400,0.125,8020
4400,0.2,6850
4400,0.3,6360
4400,0.4,5980
4400,0.5,5650
4600,0.0,4600
4600,0.125,8380
4600,0.2,7160
4600,0.3,6640
4600,0.4,6250
4600,0.5,5900
4800,0.0,4800
4800,0.125,8740
4800,0.2,7480
4800,0.3,6930
4800,0.4,6520
4800,0.5,6160
5000,0.0,5000
5000,0.125,9110
5000,0.2,7790
5000,0.3,7220
5000,0.4,6800
5000,0.5,6410
