weight,altitude,temperature,value
6000,0,-20,1780
6000,0,-10,1851
6000,0,0,1924
6000,0,10,1999
6000,0,20,2231
6000,0,30,2757
6000,0,40,3418
6000,0,50,4284
6000,1000,-20,1855
6000,1000,-10,1928
6000,1000,0,2005
6000,1000,10,2084
6000,1000,20,2386
6000,1000,30,2947
6000,1000,40,3652
6000,1000,50,4591
6000,2000,-20,1930
6000,2000,-10,2007
6000,2000,0,2086
6000,2000,10,2169
6000,2000,20,2586
6000,2000,30,3193
6000,2000,40,3970
6000,2000,50,5005
6000,3000,-20,2006
6000,3000,-10,2087
6000,3000,0,2170
6000,3000,10,2331
6000,3000,20,2806
6000,3000,30,3466
6000,3000,40,4323
6000,3000,50,5462
6000,4000,-20,2084
6000,4000,-10,2168
6000,4000,0,2255
6000,4000,10,2533
6000,4000,20,3048
6000,4000,30,3768
6000,4000,40,4711
6000,4000,50,5967
6000,5000,-20,2165
6000,5000,-10,2252
6000,5000,0,2340
6000,5000,10,2737
6000,5000,20,3289
6000,5000,30,4069
6000,5000,40,5094
6000,6000,-20,2242
6000,6000,-10,2332
6000,6000,0,2446
6000,6000,10,2983
6000,6000,20,3585
6000,6000,30,4440
6000,6000,40,5574
6000,7000,-20,2329
6000,7000,-10,2439
6000,7000,0,2666
6000,7000,10,3291
6000,7000,20,3960
6000,7000,30,4905
6000,7000,40,6178
6000,8000,-20,2457
6000,8000,-10,2692
6000,8000,0,2942
6000,8000,10,3677
6000,8000,20,4429
6000,8000,30,5488
6000,8000,40,6932
6000,9000,-20,2735
6000,9000,-10,2996
6000,9000,0,3297
6000,9000,10,4141
6000,9000,20,4996
6000,9000,30,6197
6000,10000,-20,3046
6000,10000,-10,3336
6000,10000,0,3708
6000,10000,10,4661
6000,10000,20,5637
6000,10000,30,7005
5500,0,-20,1632
5500,0,-10,1697
5500,0,0,1763
5500,0,10,1833
5500,0,20,2045
5500,0,30,2528
5500,0,40,3133
5500,0,50,3927
5500,1000,-20,1700
5500,1000,-10,1768
5500,1000,0,1838
5500,1000,10,1911
5500,1000,20,2187
5500,1000,30,2702
5500,1000,40,3348
5500,1000,50,4209
5500,2000,-20,1769
5500,2000,-10,1840
5500,2000,0,1912
5500,2000,10,1989
5500,2000,20,2370
5500,2000,30,2927
5500,2000,40,3640
5500,2000,50,4588
5500,3000,-20,1839
5500,3000,-10,1913
5500,3000,0,1989
5500,3000,10,2137
5500,3000,20,2572
5500,3000,30,3177
5500,3000,40,3963
5500,3000,50,5006
5500,4000,-20,1911
5500,4000,-10,1988
5500,4000,0,2067
5500,4000,10,2322
5500,4000,20,2794
5500,4000,30,3454
5500,4000,40,4318
5500,4000,50,5469
5500,5000,-20,1985
5500,5000,-10,2064
5500,5000,0,2145
5500,5000,10,2508
5500,5000,20,3015
5500,5000,30,3730
5500,5000,40,4669
5500,5000,50,5919
5500,6000,-20,2055
5500,6000,-10,2138
5500,6000,0,2242
5500,6000,10,2735
5500,6000,20,3286
5500,6000,30,4070
5500,6000,40,5109
5500,6000,50,6487
5500,7000,-20,2135
5500,7000,-10,2236
5500,7000,0,2444
5500,7000,10,3017
5500,7000,20,3630
5500,7000,30,4497
5500,7000,40,5663
5500,8000,-20,2252
5500,8000,-10,2468
5500,8000,0,2697
5500,8000,10,3370
5500,8000,20,4060
5500,8000,30,5031
5500,8000,40,6355
5500,9000,-20,2507
5500,9000,-10,2747
5500,9000,0,3023
5500,9000,10,3796
5500,9000,20,4580
5500,9000,30,5681
5500,9000,40,7201
5500,10000,-20,2792
5500,10000,-10,3058
5500,10000,0,3399
5500,10000,10,4273
5500,10000,20,5167
5500,10000,30,6422
5500,10000,40,8167
5000,0,-20,1483
5000,0,-10,1542
5000,0,0,1603
5000,0,10,1666
5000,0,20,1859
5000,0,30,2298
5000,0,40,2848
5000,0,50,3570
5000,1000,-20,1546
5000,1000,-10,1607
5000,1000,0,1671
5000,1000,10,1737
5000,1000,20,1988
5000,1000,30,2456
5000,1000,40,3044
5000,1000,50,3826
5000,2000,-20,1608
5000,2000,-10,1672
5000,2000,0,1739
5000,2000,10,1808
5000,2000,20,2155
5000,2000,30,2661
5000,2000,40,3309
5000,2000,50,4171
5000,3000,-20,1671
5000,3000,-10,1739
5000,3000,0,1808
5000,3000,10,1942
5000,3000,20,2338
5000,3000,30,2889
5000,3000,40,3602
5000,3000,50,4551
5000,4000,-20,1737
5000,4000,-10,1807
5000,4000,0,1879
5000,4000,10,2111
5000,4000,20,2540
5000,4000,30,3140
5000,4000,40,3926
5000,4000,50,4972
5000,5000,-20,1804
5000,5000,-10,1877
5000,5000,0,1950
5000,5000,10,2280
5000,5000,20,2741
5000,5000,30,3391
5000,5000,40,4245
5000,5000,50,5381
5000,6000,-20,1868
5000,6000,-10,1943
5000,6000,0,2038
5000,6000,10,2486
5000,6000,20,2987
5000,6000,30,3700
5000,6000,40,4645
5000,6000,50,5897
5000,7000,-20,1941
5000,7000,-10,2033
5000,7000,0,2222
5000,7000,10,2742
5000,7000,20,3300
5000,7000,30,4088
5000,7000,40,5148
5000,7000,50,6568
5000,8000,-20,2048
5000,8000,-10,2243
5000,8000,0,2451
5000,8000,10,3064
5000,8000,20,3691
5000,8000,30,4574
5000,8000,40,5777
5000,8000,50,7406
5000,9000,-20,2279
5000,9000,-10,2497
5000,9000,0,2748
5000,9000,10,3451
5000,9000,20,4163
5000,9000,30,5164
5000,9000,40,6546
5000,9000,50,8364
5000,10000,-20,2538
5000,10000,-10,2780
5000,10000,0,3090
5000,10000,10,3885
5000,10000,20,4697
5000,10000,30,5838
5000,10000,40,7425
5000,10000,50,9411
