altitude_ft,oat_c,weight_lb,value
0,5,6000,0
2000,1,6000,2
4000,-3,6000,5
6000,-7,6000,7
8000,-11,6000,10
10000,-15,6000,13
12000,-19,6000,16
14000,-23,6000,19
16000,-27,6000,23
18000,-31,6000,27
20000,-35,6000,32
22000,-39,6000,37
24000,-43,6000,42
26000,-47,6000,48
28000,-50,6000,55
30000,-54,6000,64
31000,-56,6000,69
0,5,5500,0
2000,1,5500,2
4000,-3,5500,4
6000,-7,5500,6
8000,-11,5500,9
10000,-15,5500,11
12000,-19,5500,14
14000,-23,5500,17
16000,-27,5500,21
18000,-31,5500,24
20000,-35,5500,28
22000,-39,5500,32
24000,-43,5500,37
26000,-47,5500,42
28000,-50,5500,48
30000,-54,5500,55
31000,-56,5500,59
0,5,5000,0
2000,1,5000,2
4000,-3,5000,4
6000,-7,5000,6
8000,-11,5000,8
10000,-15,5000,10
12000,-19,5000,12
14000,-23,5000,15
16000,-27,5000,18
18000,-31,5000,21
20000,-35,5000,25
22000,-39,5000,28
24000,-43,5000,32
26000,-47,5000,36
28000,-50,5000,41
30000,-54,5000,47
31000,-56,5000,50
0,5,4500,0
2000,1,4500,2
4000,-3,4500,3
6000,-7,4500,5
8000,-11,4500,7
10000,-15,4500,9
12000,-19,4500,11
14000,-23,4500,13
16000,-27,4500,16
18000,-31,4500,19
20000,-35,4500,21
22000,-39,4500,24
24000,-43,4500,28
26000,-47,4500,31
28000,-50,4500,36
30000,-54,4500,40
31000,-56,4500,43
0,15,6000,0
2000,11,6000,3
4000,7,6000,6
6000,3,6000,8
8000,-1,6000,11
10000,-5,6000,14
12000,-9,6000,18
14000,-13,6000,22
16000,-17,6000,25
18000,-21,6000,30
20000,-25,6000,34
22000,-29,6000,39
24000,-33,6000,45
26000,-37,6000,51
28000,-40,6000,58
30000,-44,6000,67
31000,-46,6000,73
0,15,5500,0
2000,11,5500,2
4000,7,5500,5
6000,3,5500,7
8000,-1,5500,10
10000,-5,5500,13
12000,-9,5500,16
14000,-13,5500,19
16000,-17,5500,22
18000,-21,5500,26
20000,-25,5500,30
22000,-29,5500,34
24000,-33,5500,39
26000,-37,5500,44
28000,-40,5500,50
30000,-44,5500,58
31000,-46,5500,62
0,15,5000,0
2000,11,5000,2
4000,7,5000,4
6000,3,5000,7
8000,-1,5000,9
10000,-5,5000,11
12000,-9,5000,14
14000,-13,5000,17
16000,-17,5000,20
18000,-21,5000,23
20000,-25,5000,26
22000,-29,5000,30
24000,-33,5000,34
26000,-37,5000,38
28000,-40,5000,43
30000,-44,5000,49
31000,-46,5000,53
0,15,4500,0
2000,11,4500,2
4000,7,4500,4
6000,3,4500,6
8000,-1,4500,8
10000,-5,4500,10
12000,-9,4500,12
14000,-13,4500,15
16000,-17,4500,17
18000,-21,4500,20
20000,-25,4500,23
22000,-29,4500,26
24000,-33,4500,29
26000,-37,4500,33
28000,-40,4500,37
30000,-44,4500,42
31000,-46,4500,45
0,25,6000,0
2000,21,6000,4
4000,17,6000,7
6000,13,6000,11
8000,9,6000,14
10000,5,6000,19
12000,1,6000,23
14000,-3,6000,28
16000,-7,6000,33
18000,-11,6000,38
20000,-15,6000,44
22000,-19,6000,51
24000,-23,6000,59
26000,-27,6000,67
28000,-30,6000,76
30000,-34,6000,87
31000,-36,6000,93
0,25,5500,0
2000,21,5500,3
4000,17,5500,6
6000,13,5500,9
8000,9,5500,13
10000,5,5500,16
12000,1,5500,20
14000,-3,5500,24
16000,-7,5500,29
18000,-11,5500,33
20000,-15,5500,38
22000,-19,5500,44
24000,-23,5500,50
26000,-27,5500,57
28000,-30,5500,64
30000,-34,5500,72
31000,-36,5500,77
0,25,5000,0
2000,21,5000,3
4000,17,5000,5
6000,13,5000,8
8000,9,5000,11
10000,5,5000,14
12000,1,5000,17
14000,-3,5000,21
16000,-7,5000,25
18000,-11,5000,29
20000,-15,5000,33
22000,-19,5000,38
24000,-23,5000,43
26000,-27,5000,48
28000,-30,5000,54
30000,-34,5000,61
31000,-36,5000,64
0,25,4500,0
2000,21,4500,2
4000,17,4500,5
6000,13,4500,7
8000,9,4500,10
10000,5,4500,12
12000,1,4500,15
14000,-3,4500,18
16000,-7,4500,21
18000,-11,4500,25
20000,-15,4500,28
22000,-19,4500,32
24000,-23,4500,36
26000,-27,4500,41
28000,-30,4500,45
30000,-34,4500,51
31000,-36,4500,54
