altitude_ft,oat_c,weight_lb,value
0,5,6000,0
2000,1,6000,1
4000,-3,6000,2
6000,-7,6000,3
8000,-11,6000,3
10000,-15,6000,4
12000,-19,6000,6
14000,-23,6000,7
16000,-27,6000,8
18000,-31,6000,9
20000,-35,6000,11
22000,-39,6000,12
24000,-43,6000,14
26000,-47,6000,16
28000,-50,6000,18
30000,-54,6000,20
31000,-56,6000,22
0,5,5500,0
2000,1,5500,1
4000,-3,5500,2
6000,-7,5500,2
8000,-11,5500,3
10000,-15,5500,4
12000,-19,5500,5
14000,-23,5500,6
16000,-27,5500,7
18000,-31,5500,8
20000,-35,5500,9
22000,-39,5500,11
24000,-43,5500,12
26000,-47,5500,14
28000,-50,5500,15
30000,-54,5500,17
31000,-56,5500,18
0,5,5000,0
2000,1,5000,1
4000,-3,5000,1
6000,-7,5000,2
8000,-11,5000,3
10000,-15,5000,4
12000,-19,5000,4
14000,-23,5000,5
16000,-27,5000,6
18000,-31,5000,7
20000,-35,5000,8
22000,-39,5000,9
24000,-43,5000,10
26000,-47,5000,12
28000,-50,5000,13
30000,-54,5000,15
31000,-56,5000,16
0,5,4500,0
2000,1,4500,1
4000,-3,4500,1
6000,-7,4500,2
8000,-11,4500,2
10000,-15,4500,3
12000,-19,4500,4
14000,-23,4500,5
16000,-27,4500,5
18000,-31,4500,6
20000,-35,4500,7
22000,-39,4500,8
24000,-43,4500,9
26000,-47,4500,10
28000,-50,4500,11
30000,-54,4500,13
31000,-56,4500,13
0,15,6000,0
2000,11,6000,1
4000,7,6000,2
6000,3,6000,3
8000,-1,6000,4
10000,-5,6000,5
12000,-9,6000,7
14000,-13,6000,8
16000,-17,6000,9
18000,-21,6000,11
20000,-25,6000,12
22000,-29,6000,14
24000,-33,6000,15
26000,-37,6000,17
28000,-40,6000,19
30000,-44,6000,22
31000,-46,6000,23
0,15,5500,0
2000,11,5500,1
4000,7,5500,2
6000,3,5500,3
8000,-1,5500,4
10000,-5,5500,5
12000,-9,5500,6
14000,-13,5500,7
16000,-17,5500,8
18000,-21,5500,9
20000,-25,5500,11
22000,-29,5500,12
24000,-33,5500,13
26000,-37,5500,15
28000,-40,5500,17
30000,-44,5500,19
31000,-46,5500,20
0,15,5000,0
2000,11,5000,1
4000,7,5000,2
6000,3,5000,3
8000,-1,5000,3
10000,-5,5000,4
12000,-9,5000,5
14000,-13,5000,6
16000,-17,5000,7
18000,-21,5000,8
20000,-25,5000,9
22000,-29,5000,10
24000,-33,5000,12
26000,-37,5000,13
28000,-40,5000,14
30000,-44,5000,16
31000,-46,5000,17
0,15,4500,0
2000,11,4500,1
4000,7,4500,1
6000,3,4500,2
8000,-1,4500,3
10000,-5,4500,4
12000,-9,4500,4
14000,-13,4500,5
16000,-17,4500,6
18000,-21,4500,7
20000,-25,4500,8
22000,-29,4500,9
24000,-33,4500,10
26000,-37,4500,11
28000,-40,4500,12
30000,-44,4500,14
31000,-46,4500,14
0,25,6000,0
2000,21,6000,1
4000,17,6000,3
6000,13,6000,4
8000,9,6000,6
10000,5,6000,7
12000,1,6000,9
14000,-3,6000,11
16000,-7,6000,12
18000,-11,6000,14
20000,-15,6000,16
22000,-19,6000,19
24000,-23,6000,21
26000,-27,6000,24
28000,-30,6000,27
30000,-34,6000,30
31000,-36,6000,32
0,25,5500,0
2000,21,5500,2
4000,17,5500,3
6000,13,5500,4
8000,9,5500,5
10000,5,5500,6
12000,1,5500,8
14000,-3,5500,9
16000,-7,5500,11
18000,-11,5500,12
20000,-15,5500,14
22000,-19,5500,16
24000,-23,5500,18
26000,-27,5500,20
28000,-30,5500,22
30000,-34,5500,25
31000,-36,5500,26
0,25,5000,0
2000,21,5000,1
4000,17,5000,2
6000,13,5000,3
8000,9,5000,4
10000,5,5000,5
12000,1,5000,7
14000,-3,5000,8
16000,-7,5000,9
18000,-11,5000,11
20000,-15,5000,12
22000,-19,5000,14
24000,-23,5000,15
26000,-27,5000,17
28000,-30,5000,19
30000,-34,5000,21
31000,-36,5000,22
0,25,4500,0
2000,21,4500,1
4000,17,4500,2
6000,13,4500,3
8000,9,4500,4
10000,5,4500,5
12000,1,4500,6
14000,-3,4500,7
16000,-7,4500,8
18000,-11,4500,9
20000,-15,4500,10
22000,-19,4500,12
24000,-23,4500,13
26000,-27,4500,14
28000,-30,4500,16
30000,-34,4500,17
31000,-36,4500,18
