weight,altitude,temperature,value
4500,0,-40,1901
4500,0,-30,1899
4500,0,-20,1898
4500,0,-10,1896
4500,0,0,1893
4500,0,10,1888
4500,0,20,1869
4500,0,30,1673
4500,0,40,1425
4500,0,50,1193
4500,1000,-40,1903
4500,1000,-30,1904
4500,1000,-20,1901
4500,1000,-10,1900
4500,1000,0,1897
4500,1000,10,1892
4500,1000,20,1855
4500,1000,30,1639
4500,1000,40,1396
4500,1000,50,1163
4500,2000,-40,1912
4500,2000,-30,1910
4500,2000,-20,1909
4500,2000,-10,1909
4500,2000,0,1904
4500,2000,10,1899
4500,2000,20,1832
4500,2000,30,1586
4500,2000,40,1346
4500,2000,48,1160
4500,3000,-40,1921
4500,3000,-30,1920
4500,3000,-20,1919
4500,3000,-10,1917
4500,3000,0,1912
4500,3000,10,1906
4500,3000,20,1801
4500,3000,30,1532
4500,3000,40,1295
4500,3000,47,1135
4500,4000,-40,1934
4500,4000,-30,1933
4500,4000,-20,1932
4500,4000,-10,1928
4500,4000,0,1926
4500,4000,10,1917
4500,4000,20,1740
4500,4000,30,1477
4500,4000,40,1246
4500,4000,45,1134
4500,5000,-40,1663
4500,5000,-30,1663
4500,5000,-20,1661
4500,5000,-10,1659
4500,5000,0,1656
4500,5000,10,1632
4500,5000,20,1405
4500,5000,30,1155
4500,5000,40,932
4500,5000,45,827
4500,6000,-40,1679
4500,6000,-30,1680
4500,6000,-20,1677
4500,6000,-10,1676
4500,6000,0,1672
4500,6000,10,1577
4500,6000,20,1359
4500,6000,30,1116
4500,6000,40,895
4500,6000,44,811
4500,7000,-40,1697
4500,7000,-30,1696
4500,7000,-20,1693
4500,7000,-10,1691
4500,7000,0,1616
4500,7000,10,1495
4500,7000,20,1281
4500,7000,30,1046
4500,7000,40,832
4500,7000,44,751
4500,8000,-40,1675
4500,8000,-30,1673
4500,8000,-20,1671
4500,8000,-10,1604
4500,8000,0,1518
4500,8000,10,1386
4500,8000,20,1217
4500,8000,30,983
4500,8000,40,768
4500,8000,43,707
4500,9000,-40,1691
4500,9000,-30,1691
4500,9000,-20,1624
4500,9000,-10,1535
4500,9000,0,1453
4500,9000,10,1309
4500,9000,20,1140
4500,9000,30,915
4500,9000,40,708
4500,9000,42,669
4500,10000,-40,1697
4500,10000,-30,1633
4500,10000,-20,1555
4500,10000,-10,1470
4500,10000,0,1389
4500,10000,10,1235
4500,10000,20,1064
4500,10000,30,849
4500,10000,40,647
4500,10000,41,629
5000,0,-40,1641
5000,0,-30,1639
5000,0,-20,1638
5000,0,-10,1637
5000,0,0,1634
5000,0,10,1629
5000,0,20,1612
5000,0,30,1436
5000,0,40,1213
5000,0,50,1004
5000,1000,-40,1642
5000,1000,-30,1643
5000,1000,-20,1640
5000,1000,-10,1640
5000,1000,0,1637
5000,1000,10,1633
5000,1000,20,1600
5000,1000,30,1405
5000,1000,40,1186
5000,1000,50,977
5000,2000,-40,1650
5000,2000,-30,1648
5000,2000,-20,1647
5000,2000,-10,1647
5000,2000,0,1643
5000,2000,10,1639
5000,2000,20,1578
5000,2000,30,1356
5000,2000,40,1141
5000,2000,48,974
5000,3000,-40,1657
5000,3000,-30,1657
5000,3000,-20,1656
5000,3000,-10,1654
5000,3000,0,1649
5000,3000,10,1644
5000,3000,20,1549
5000,3000,30,1308
5000,3000,40,1094
5000,3000,47,951
5000,4000,-40,1669
5000,4000,-30,1667
5000,4000,-20,1667
5000,4000,-10,1663
5000,4000,0,1662
5000,4000,10,1654
5000,4000,20,1494
5000,4000,30,1258
5000,4000,40,1050
5000,4000,45,949
5000,5000,-40,1426
5000,5000,-30,1426
5000,5000,-20,1424
5000,5000,-10,1422
5000,5000,0,1420
5000,5000,10,1398
5000,5000,20,1194
5000,5000,30,969
5000,5000,40,769
5000,5000,45,673
5000,6000,-40,1440
5000,6000,-30,1440
5000,6000,-20,1438
5000,6000,-10,1437
5000,6000,0,1434
5000,6000,10,1348
5000,6000,20,1152
5000,6000,30,933
5000,6000,40,734
5000,6000,44,659
5000,7000,-40,1455
5000,7000,-30,1454
5000,7000,-20,1452
5000,7000,-10,1450
5000,7000,0,1382
5000,7000,10,1274
5000,7000,20,1081
5000,7000,30,870
5000,7000,40,677
5000,7000,44,604
5000,8000,-40,1437
5000,8000,-30,1435
5000,8000,-20,1433
5000,8000,-10,1373
5000,8000,0,1296
5000,8000,10,1177
5000,8000,20,1020
5000,8000,30,809
5000,8000,40,616
5000,8000,43,562
5000,9000,-40,1451
5000,9000,-30,1451
5000,9000,-20,1390
5000,9000,-10,1311
5000,9000,0,1237
5000,9000,10,1107
5000,9000,20,951
5000,9000,30,748
5000,9000,40,561
5000,9000,42,527
5000,10000,-40,1456
5000,10000,-30,1398
5000,10000,-20,1327
5000,10000,-10,1251
5000,10000,0,1179
5000,10000,10,1040
5000,10000,20,881
5000,10000,30,688
5000,10000,40,507
5000,10000,41,490
5500,0,-40,1421
5500,0,-30,1420
5500,0,-20,1419
5500,0,-10,1418
5500,0,0,1415
5500,0,10,1411
5500,0,20,1395
5500,0,30,1235
5500,0,40,1033
5500,0,50,843
5500,1000,-40,1422
5500,1000,-30,1423
5500,1000,-20,1421
5500,1000,-10,1420
5500,1000,0,1417
5500,1000,10,1414
5500,1000,20,1384
5500,1000,30,1207
5500,1000,40,1008
5500,1000,50,817
5500,2000,-40,1428
5500,2000,-30,1427
5500,2000,-20,1426
5500,2000,-10,1426
5500,2000,0,1422
5500,2000,10,1419
5500,2000,20,1364
5500,2000,30,1162
5500,2000,40,966
5500,2000,48,814
5500,3000,-40,1435
5500,3000,-30,1435
5500,3000,-20,1434
5500,3000,-10,1432
5500,3000,0,1428
5500,3000,10,1423
5500,3000,20,1337
5500,3000,30,1117
5500,3000,40,923
5500,3000,47,793
5500,4000,-40,1445
5500,4000,-30,1444
5500,4000,-20,1443
5500,4000,-10,1440
5500,4000,0,1439
5500,4000,10,1432
5500,4000,20,1286
5500,4000,30,1072
5500,4000,40,882
5500,4000,45,791
5500,5000,-40,1225
5500,5000,-30,1225
5500,5000,-20,1224
5500,5000,-10,1222
5500,5000,0,1219
5500,5000,10,1200
5500,5000,20,1014
5500,5000,30,810
5500,5000,40,628
5500,5000,45,541
