weight,altitude,temperature,value
6000,0,-40,2099
5500,0,-40,2421
5000,0,-40,2795
4500,0,-40,3238
6000,0,-30,2055
5500,0,-30,2370
5000,0,-30,2737
4500,0,-30,3170
6000,0,-20,2012
5500,0,-20,2321
5000,0,-20,2679
4500,0,-20,3104
6000,0,-10,1972
5500,0,-10,2275
5000,0,-10,2626
4500,0,-10,3043
6000,0,0,1933
5500,0,0,2229
5000,0,0,2574
4500,0,0,2982
6000,0,10,1892
5500,0,10,2183
5000,0,10,2521
4500,0,10,2921
6000,0,20,1838
5500,0,20,2122
5000,0,20,2451
4500,0,20,2841
6000,0,30,1589
5500,0,30,1848
5000,0,30,2148
4500,0,30,2502
6000,0,40,1289
5500,0,40,1519
5000,0,40,1784
4500,0,40,2096
6000,0,50,1017
5500,0,50,1220
5000,0,50,1454
4500,0,50,1727
6000,1000,-40,2126
5500,1000,-40,2452
5000,1000,-40,2832
4500,1000,-40,3281
6000,1000,-30,2081
5500,1000,-30,2401
5000,1000,-30,2772
4500,1000,-30,3212
6000,1000,-20,2037
5500,1000,-20,2350
5000,1000,-20,2714
4500,1000,-20,3145
6000,1000,-10,1997
5500,1000,-10,2304
5000,1000,-10,2660
4500,1000,-10,3083
6000,1000,0,1956
5500,1000,0,2257
5000,1000,0,2607
4500,1000,0,3021
6000,1000,10,1915
5500,1000,10,2210
5000,1000,10,2553
4500,1000,10,2958
6000,1000,20,1841
5500,1000,20,2128
5000,1000,20,2460
4500,1000,20,2853
6000,1000,30,1565
5500,1000,30,1825
5000,1000,30,2124
4500,1000,30,2478
6000,1000,40,1268
5500,1000,40,1499
5000,1000,40,1764
4500,1000,40,2076
6000,1000,50,994
5500,1000,50,1197
5000,1000,50,1430
4500,1000,50,1703
6000,2000,-40,2158
5500,2000,-40,2490
5000,2000,-40,2876
4500,2000,-40,3332
6000,2000,-30,2110
5500,2000,-30,2435
5000,2000,-30,2813
4500,2000,-30,3260
6000,2000,-20,2068
5500,2000,-20,2386
5000,2000,-20,2756
4500,2000,-20,3194
6000,2000,-10,2027
5500,2000,-10,2339
5000,2000,-10,2701
4500,2000,-10,3130
6000,2000,0,1985
5500,2000,0,2291
5000,2000,0,2646
4500,2000,0,3067
6000,2000,10,1943
5500,2000,10,2243
5000,2000,10,2591
4500,2000,10,3003
6000,2000,20,1832
5500,2000,20,2120
5000,2000,20,2454
4500,2000,20,2848
6000,2000,30,1519
5500,2000,30,1776
5000,2000,30,2073
4500,2000,30,2423
6000,2000,40,1224
5500,2000,40,1452
5000,2000,40,1715
4500,2000,40,2024
6000,2000,48,1003
5500,2000,48,1210
5000,2000,48,1446
4500,2000,48,1724
6000,3000,-40,2193
5500,3000,-40,2530
5000,3000,-40,2923
4500,3000,-40,3387
6000,3000,-30,2145
5500,3000,-30,2476
5000,3000,-30,2859
4500,3000,-30,3314
6000,3000,-20,2101
5500,3000,-20,2425
5000,3000,-20,2800
4500,3000,-20,3246
6000,3000,-10,2058
5500,3000,-10,2375
5000,3000,-10,2744
4500,3000,-10,3180
6000,3000,0,2015
5500,3000,0,2326
5000,3000,0,2687
4500,3000,0,3115
6000,3000,10,1972
5500,3000,10,2277
5000,3000,10,2631
4500,3000,10,3049
6000,3000,20,1814
5500,3000,20,2102
5000,3000,20,2436
4500,3000,20,2831
6000,3000,30,1472
5500,3000,30,1727
5000,3000,30,2021
4500,3000,30,2368
6000,3000,40,1179
5500,3000,40,1405
5000,3000,40,1665
4500,3000,40,1970
6000,3000,47,986
5500,3000,47,1193
5000,3000,47,1431
4500,3000,47,1708
6000,4000,-40,2233
5500,4000,-40,2577
5000,4000,-40,2976
4500,4000,-40,3449
6000,4000,-30,2184
5500,4000,-30,2521
5000,4000,-30,2912
4500,4000,-30,3375
6000,4000,-20,2139
5500,4000,-20,2469
5000,4000,-20,2851
4500,4000,-20,3305
6000,4000,-10,2095
5500,4000,-10,2418
5000,4000,-10,2793
4500,4000,-10,3237
6000,4000,0,2052
5500,4000,0,2369
5000,4000,0,2737
4500,4000,0,3172
6000,4000,10,2007
5500,4000,10,2317
5000,4000,10,2676
4500,4000,10,3103
6000,4000,20,1760
5500,4000,20,2045
5000,4000,20,2376
4500,4000,20,2766
6000,4000,30,1423
5500,4000,30,1676
5000,4000,30,1967
4500,4000,30,2310
6000,4000,40,1133
5500,4000,40,1357
5000,4000,40,1614
