weight,altitude,temperature,value
5000,0,-20,1391
5000,0,-10,1447
5000,0,0,1504
5000,0,10,1563
5000,0,20,1636
5000,0,30,1899
5000,0,40,2331
5000,0,50,2896
5000,1000,-20,1450
5000,1000,-10,1507
5000,1000,0,1567
5000,1000,10,1629
5000,1000,20,1715
5000,1000,30,2031
5000,1000,40,2492
5000,1000,50,3107
5000,2000,-20,1509
5000,2000,-10,1569
5000,2000,0,1631
5000,2000,10,1696
5000,2000,20,1805
5000,2000,30,2202
5000,2000,40,2704
5000,2000,50,3385
5000,3000,-20,1568
5000,3000,-10,1631
5000,3000,0,1696
5000,3000,10,1764
5000,3000,20,1935
5000,3000,30,2390
5000,3000,40,2942
5000,3000,50,3690
5000,4000,-20,1629
5000,4000,-10,1695
5000,4000,0,1762
5000,4000,10,1833
5000,4000,20,2103
5000,4000,30,2598
5000,4000,40,3207
5000,4000,50,4024
5000,5000,-20,1692
5000,5000,-10,1761
5000,5000,0,1829
5000,5000,10,1921
5000,5000,20,2272
5000,5000,30,2804
5000,5000,40,3468
5000,5000,50,4357
5000,6000,-20,1752
5000,6000,-10,1823
5000,6000,0,1911
5000,6000,10,2095
5000,6000,20,2477
5000,6000,30,3058
5000,6000,40,3789
5000,6000,50,4772
5000,7000,-20,1820
5000,7000,-10,1907
5000,7000,0,2084
5000,7000,10,2307
5000,7000,20,2736
5000,7000,30,3379
5000,7000,40,4197
5000,7000,50,5297
5000,8000,-20,1920
5000,8000,-10,2105
5000,8000,0,2298
5000,8000,10,2574
5000,8000,20,3062
5000,8000,30,3781
5000,8000,40,4703
5000,8000,50,5950
5000,9000,-20,2138
5000,9000,-10,2343
5000,9000,0,2558
5000,9000,10,2894
5000,9000,20,3455
5000,9000,30,4265
5000,9000,40,5322
5000,9000,50,6723
5000,10000,-20,2381
5000,10000,-10,2607
5000,10000,0,2847
5000,10000,10,3253
5000,10000,20,3896
5000,10000,30,4811
5000,10000,40,6021
5000,10000,50,7583
5500,0,-20,1531
5500,0,-10,1591
5500,0,0,1654
5500,0,10,1719
5500,0,20,1800
5500,0,30,2089
5500,0,40,2564
5500,0,50,3185
5500,1000,-20,1595
5500,1000,-10,1658
