weight,altitude,temperature,value
6000,0,-20,2460
6000,0,-10,2558
6000,0,0,2658
6000,0,10,2764
6000,0,20,2896
6000,0,30,3390
6000,0,40,4217
6000,0,50,5315
6000,1000,-20,2564
6000,1000,-10,2666
6000,1000,0,2771
6000,1000,10,2882
6000,1000,20,3037
6000,1000,30,3634
6000,1000,40,4518
6000,1000,50,5719
6000,2000,-20,2668
6000,2000,-10,2775
6000,2000,0,2885
6000,2000,10,3001
6000,2000,20,3201
6000,2000,30,3953
6000,2000,40,4920
6000,2000,50,6255
6000,3000,-20,2773
6000,3000,-10,2885
6000,3000,0,3001
6000,3000,10,3122
6000,3000,20,3439
6000,3000,30,4306
6000,3000,40,5374
6000,3000,50,6846
6000,4000,-20,2883
6000,4000,-10,3000
6000,4000,0,3119
6000,4000,10,3244
6000,4000,20,3751
6000,4000,30,4697
6000,4000,40,5881
6000,4000,50,7497
6000,5000,-20,2994
6000,5000,-10,3116
6000,5000,0,3237
6000,5000,10,3402
6000,5000,20,4065
6000,5000,30,5085
6000,5000,40,6380
6000,5000,50,8145
6000,6000,-20,3100
6000,6000,-10,3225
6000,6000,0,3384
6000,6000,10,3724
6000,6000,20,4449
6000,6000,30,5568
6000,6000,40,7000
6000,6000,50,8960
6000,7000,-20,3220
6000,7000,-10,3376
6000,7000,0,3703
6000,7000,10,4120
6000,7000,20,4937
6000,7000,30,6183
6000,7000,40,7794
6000,8000,-20,3399
6000,8000,-10,3739
6000,8000,0,4099
6000,8000,10,4617
6000,8000,20,5552
6000,8000,30,6952
6000,8000,40,8781
6000,9000,-20,3797
6000,9000,-10,4177
6000,9000,0,4578
6000,9000,10,5215
6000,9000,20,6295
6000,9000,30,7883
6000,9000,40,9990
6000,10000,-20,4244
6000,10000,-10,4667
6000,10000,0,5115
6000,10000,10,5890
6000,10000,20,7135
6000,10000,30,8937
6000,10000,40,11364
5500,0,-20,2177
5500,0,-10,2264
5500,0,0,2353
5500,0,10,2446
5500,0,20,2563
5500,0,30,2999
5500,0,40,3726
5500,0,50,4692
5500,1000,-20,2269
5500,1000,-10,2360
5500,1000,0,2453
5500,1000,10,2551
5500,1000,20,2688
5500,1000,30,3214
5500,1000,40,3992
5500,1000,50,5047
5500,2000,-20,2362
5500,2000,-10,2456
5500,2000,0,2554
5500,2000,10,2656
5500,2000,20,2833
5500,2000,30,3495
5500,2000,40,4346
5500,2000,50,5518
5500,3000,-20,2455
5500,3000,-10,2554
5500,3000,0,2656
5500,3000,10,2763
5500,3000,20,3043
5500,3000,30,3807
5500,3000,40,4746
5500,3000,50,6038
5500,4000,-20,2551
5500,4000,-10,2655
5500,4000,0,2760
5500,4000,10,2871
5500,4000,20,3318
5500,4000,30,4151
5500,4000,40,5192
5500,4000,50,6611
5500,5000,-20,2650
5500,5000,-10,2758
5500,5000,0,2865
5500,5000,10,3011
5500,5000,20,3595
5500,5000,30,4493
5500,5000,40,5631
5500,5000,50,7180
5500,6000,-20,2744
5500,6000,-10,2855
5500,6000,0,2995
5500,6000,10,3295
5500,6000,20,3934
5500,6000,30,4918
5500,6000,40,6177
5500,6000,50,7896
5500,7000,-20,2850
5500,7000,-10,2988
5500,7000,0,3277
5500,7000,10,3644
5500,7000,20,4363
5500,7000,30,5459
5500,7000,40,6874
5500,7000,50,8811
5500,8000,-20,3008
5500,8000,-10,3308
5500,8000,0,3626
5500,8000,10,4082
5500,8000,20,4905
5500,8000,30,6136
5500,8000,40,7741
5500,8000,50,9949
5500,9000,-20,3360
5500,9000,-10,3695
5500,9000,0,4049
5500,9000,10,4610
5500,9000,20,5560
5500,9000,30,6955
5500,9000,40,8805
5500,9000,50,11300
5500,10000,-20,3754
5500,10000,-10,4127
5500,10000,0,4523
5500,10000,10,5204
5500,10000,20,6300
5500,10000,30,7882
5500,10000,40,10011
5500,10000,50,12809
5000,0,-20,1911
5000,0,-10,1987
5000,0,0,2065
5000,0,10,2147
5000,0,20,2249
5000,0,30,2630
5000,0,40,3264
5000,0,50,4106
5000,1000,-20,1992
5000,1000,-10,2071
5000,1000,0,2153
5000,1000,10,2239
5000,1000,20,2359
5000,1000,30,2818
5000,1000,40,3496
5000,1000,50,4416
5000,2000,-20,2073
5000,2000,-10,2155
5000,2000,0,2241
5000,2000,10,2331
5000,2000,20,2485
5000,2000,30,3064
5000,2000,40,3806
5000,2000,50,4827
5000,3000,-20,2154
5000,3000,-10,2241
5000,3000,0,2331
5000,3000,10,2425
5000,3000,20,2670
5000,3000,30,3336
5000,3000,40,4154
5000,3000,50,5280
5000,4000,-20,2239
5000,4000,-10,2330
5000,4000,0,2422
5000,4000,10,2519
5000,4000,20,2910
5000,4000,30,3636
5000,4000,40,4543
5000,4000,50,5779
5000,5000,-20,2326
5000,5000,-10,2420
5000,5000,0,2515
5000,5000,10,2642
5000,5000,20,3152
5000,5000,30,3935
5000,5000,40,4926
5000,5000,50,6275
5000,6000,-20,2408
5000,6000,-10,2505
5000,6000,0,2628
5000,6000,10,2891
5000,6000,20,3448
5000,6000,30,4306
5000,6000,40,5402
5000,6000,50,6898
5000,7000,-20,2501
5000,7000,-10,2622
5000,7000,0,2874
5000,7000,10,3196
5000,7000,20,3823
5000,7000,30,4778
5000,7000,40,6010
5000,7000,50,7694
5000,8000,-20,2640
5000,8000,-10,2902
5000,8000,0,3180
5000,8000,10,3578
5000,8000,20,4297
5000,8000,30,5369
5000,8000,40,6766
5000,8000,50,8684
5000,9000,-20,2948
5000,9000,-10,3241
5000,9000,0,3550
5000,9000,10,4039
5000,9000,20,4868
5000,9000,30,6083
5000,9000,40,7692
5000,9000,50,9859
5000,10000,-20,3293
5000,10000,-10,3619
5000,10000,0,3964
5000,10000,10,4559
5000,10000,20,5514
5000,10000,30,6891
5000,10000,40,8742
5000,10000,50,11172
