pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,3719
0,-54,5000,3279
0,-54,5500,2914
0,-54,6000,2605
0,-50,4500,3684
0,-50,5000,3248
0,-50,5500,2887
0,-50,6000,2580
0,-40,4500,3599
0,-40,5000,3173
0,-40,5500,2820
0,-40,6000,2521
0,-30,4500,3527
0,-30,5000,3110
0,-30,5500,2758
0,-30,6000,2465
0,-20,4500,3447
0,-20,5000,3039
0,-20,5500,2701
0,-20,6000,2409
0,-10,4500,3374
0,-10,5000,2975
0,-10,5500,2644
0,-10,6000,2363
0,0,4500,3307
0,0,5000,2910
0,0,5500,2586
0,0,6000,2311
0,10,4500,3051
0,10,5000,2686
0,10,5500,2382
0,10,6000,2120
0,20,4500,2380
0,20,5000,2076
0,20,5500,1826
0,20,6000,1609
0,30,4500,1835
0,30,5000,1584
0,30,5500,1372
0,30,6000,1192
0,40,4500,1402
0,40,5000,1192
0,40,5500,1014
0,40,6000,858
0,50,4500,1044
0,50,5000,862
0,50,5500,711
0,50,6000,578
2000,-54,4500,3739
2000,-54,5000,3296
2000,-54,5500,2927
2000,-54,6000,2616
2000,-50,4500,3703
2000,-50,5000,3264
2000,-50,5500,2899
2000,-50,6000,2591
2000,-40,4500,3625
2000,-40,5000,3190
2000,-40,5500,2833
2000,-40,6000,2531
2000,-30,4500,3540
2000,-30,5000,3121
2000,-30,5500,2772
2000,-30,6000,2472
2000,-20,4500,3465
2000,-20,5000,3054
2000,-20,5500,2713
2000,-20,6000,2419
2000,-10,4500,3391
2000,-10,5000,2989
2000,-10,5500,2655
2000,-10,6000,2372
2000,0,4500,3322
2000,0,5000,2928
2000,0,5500,2596
2000,0,6000,2319
2000,10,4500,2788
2000,10,5000,2440
2000,10,5500,2156
2000,10,6000,1909
2000,20,4500,2165
2000,20,5000,1878
2000,20,5500,1639
2000,20,6000,1437
2000,30,4500,1669
2000,30,5000,1428
2000,30,5500,1227
2000,30,6000,1055
2000,40,4500,1265
2000,40,5000,1061
2000,40,5500,891
2000,40,6000,742
2000,45,4500,1085
2000,45,5000,898
2000,45,5500,739
2000,45,6000,601
4000,-54,4500,3751
4000,-54,5000,3306
4000,-54,5500,2935
4000,-54,6000,2616
4000,-50,4500,3714
4000,-50,5000,3273
4000,-50,5500,2907
4000,-50,6000,2590
4000,-40,4500,3629
4000,-40,5000,3198
4000,-40,5500,2840
4000,-40,6000,2531
4000,-30,4500,3551
4000,-30,5000,3123
4000,-30,5500,2773
