weight,altitude,temperature,value
4500,0,-20,2998
4500,0,-10,3108
4500,0,0,3218
4500,0,10,3329
4500,1000,-20,3101
4500,1000,-10,3215
4500,1000,0,3330
4500,1000,10,3444
4500,2000,-20,3209
4500,2000,-10,3327
4500,2000,0,3446
4500,2000,10,3565
4500,3000,-20,3321
4500,3000,-10,3445
4500,3000,0,3568
4500,3000,10,3692
4500,4000,-20,3439
4500,4000,-10,3567
4500,4000,0,3696
4500,4000,10,3824
4500,5000,-20,3562
4500,5000,-10,3696
4500,5000,0,3829
4500,5000,10,3963
4500,6000,-20,3691
4500,6000,-10,3830
4500,6000,0,3969
4500,6000,10,4108
4500,7000,-20,3827
4500,7000,-10,3971
4500,7000,0,4115
4500,7000,10,4260
4500,8000,-20,4014
4500,8000,-10,4166
4500,8000,0,4318
4500,8000,10,4470
4500,9000,-20,4247
4500,9000,-10,4408
4500,9000,0,4569
4500,9000,10,4730
4500,10000,-20,4493
4500,10000,-10,4664
4500,10000,0,4835
4500,10000,10,5006
5550,0,-20,4188
5550,0,-10,4334
5550,0,0,4481
5550,0,10,4628
5550,1000,-20,4324
5550,1000,-10,4476
5550,1000,0,4629
5550,1000,10,4782
5550,2000,-20,4467
5550,2000,-10,4626
5550,2000,0,4784
5550,2000,10,4943
5550,3000,-20,4617
5550,3000,-10,4782
5550,3000,0,4947
5550,3000,10,5112
5550,4000,-20,4774
5550,4000,-10,4946
5550,4000,0,5117
5550,4000,10,5289
5550,5000,-20,4939
5550,5000,-10,5117
5550,5000,0,5296
5550,5000,10,5475
5550,6000,-20,5112
5550,6000,-10,5297
5550,6000,0,5483
5550,6000,10,5669
5550,7000,-20,5293
5550,7000,-10,5486
5550,7000,0,5679
5550,7000,10,5873
5550,8000,-20,5546
5550,8000,-10,5750
5550,8000,0,5954
5550,8000,10,6158
5550,9000,-20,5861
5550,9000,-10,6077
5550,9000,0,6294
5550,9000,10,6511
5550,10000,-20,6195
5550,10000,-10,6424
5550,10000,0,6655
5550,10000,10,6885
