weight,altitude,temperature,value
4500,0,-40,1901
4500,0,-30,1899
4500,0,-20,1898
4500,0,-10,1896
4500,0,0,1893
4500,0,10,1888
4500,0,20,1754
4500,0,30,1488
4500,0,40,1252
4500,0,50,1035
4500,1000,-40,1903
4500,1000,-30,1904
4500,1000,-20,1901
4500,1000,-10,1900
4500,1000,0,1897
4500,1000,10,1892
4500,1000,20,1717
4500,1000,30,1457
4500,1000,40,1225
4500,1000,50,1010
4500,2000,-40,1912
4500,2000,-30,1910
4500,2000,-20,1909
4500,2000,-10,1909
4500,2000,0,1904
4500,2000,10,1899
4500,2000,20,1662
4500,2000,30,1410
4500,2000,40,1179
4500,2000,48,1008
4500,3000,-40,1921
4500,3000,-30,1920
4500,3000,-20,1919
4500,3000,-10,1917
4500,3000,0,1912
4500,3000,10,1851
4500,3000,20,1606
4500,3000,30,1362
4500,3000,40,1133
4500,3000,47,985
4500,4000,-40,1934
4500,4000,-30,1933
4500,4000,-20,1932
4500,4000,-10,1928
4500,4000,0,1926
4500,4000,10,1787
4500,4000,20,1551
4500,4000,30,1311
4500,4000,40,1088
4500,4000,45,982
4500,5000,-40,1663
4500,5000,-30,1663
4500,5000,-20,1661
4500,5000,-10,1659
4500,5000,0,1656
4500,5000,10,1451
4500,5000,20,1225
4500,5000,30,997
4500,5000,40,781
4500,5000,45,682
4500,6000,-40,1679
4500,6000,-30,1680
4500,6000,-20,1677
4500,6000,-10,1676
4500,6000,0,1672
4500,6000,10,1403
4500,6000,20,1184
4500,6000,30,961
4500,6000,40,748
4500,6000,44,671
4500,7000,-40,1697
4500,7000,-30,1696
4500,7000,-20,1693
4500,7000,-10,1691
4500,7000,0,1611
4500,7000,10,1325
4500,7000,20,1114
4500,7000,30,897
4500,7000,40,691
4500,7000,44,615
4500,8000,-40,1675
4500,8000,-30,1673
4500,8000,-20,1671
4500,8000,-10,1604
4500,8000,0,1499
4500,8000,10,1223
4500,8000,20,1051
4500,8000,30,834
4500,8000,40,625
4500,8000,43,567
4500,9000,-40,1691
4500,9000,-30,1691
4500,9000,-20,1624
4500,9000,-10,1536
4500,9000,0,1420
4500,9000,10,1148
4500,9000,20,981
4500,9000,30,772
4500,9000,40,569
4500,9000,42,531
4500,10000,-40,1697
4500,10000,-30,1633
4500,10000,-20,1555
4500,10000,-10,1470
4500,10000,0,1343
4500,10000,10,1080
4500,10000,20,913
4500,10000,30,711
4500,10000,40,514
4500,10000,41,495
5000,0,-40,1641
5000,0,-30,1639
5000,0,-20,1638
5000,0,-10,1637
5000,0,0,1634
5000,0,10,1629
5000,0,20,1509
5000,0,30,1269
5000,0,40,1057
5000,0,50,862
5000,1000,-40,1642
5000,1000,-30,1643
5000,1000,-20,1640
5000,1000,-10,1640
5000,1000,0,1637
5000,1000,10,1633
5000,1000,20,1475
5000,1000,30,1241
5000,1000,40,1032
5000,1000,50,839
5000,2000,-40,1650
5000,2000,-30,1648
5000,2000,-20,1647
5000,2000,-10,1647
5000,2000,0,1643
5000,2000,10,1639
5000,2000,20,1425
5000,2000,30,1198
5000,2000,40,990
5000,2000,48,836
5000,3000,-40,1657
5000,3000,-30,1657
5000,3000,-20,1656
5000,3000,-10,1654
5000,3000,0,1649
5000,3000,10,1595
5000,3000,20,1374
5000,3000,30,1154
5000,3000,40,948
5000,3000,47,816
5000,4000,-40,1669
5000,4000,-30,1667
5000,4000,-20,1667
5000,4000,-10,1663
5000,4000,0,1661
5000,4000,10,1537
5000,4000,20,1324
5000,4000,30,1109
5000,4000,40,907
5000,4000,45,813
5000,5000,-40,1426
5000,5000,-30,1426
5000,5000,-20,1424
5000,5000,-10,1422
5000,5000,0,1420
5000,5000,10,1235
5000,5000,20,1032
5000,5000,30,827
5000,5000,40,632
5000,5000,45,543
5000,6000,-40,1440
5000,6000,-30,1440
5000,6000,-20,1438
5000,6000,-10,1437
5000,6000,0,1434
5000,6000,10,1191
5000,6000,20,995
5000,6000,30,794
5000,6000,40,603
5000,6000,44,533
5000,7000,-40,1455
5000,7000,-30,1454
5000,7000,-20,1452
5000,7000,-10,1450
5000,7000,0,1378
5000,7000,10,1121
5000,7000,20,931
5000,7000,30,736
5000,7000,40,550
5000,7000,44,482
5000,8000,-40,1437
5000,8000,-30,1435
5000,8000,-20,1433
5000,8000,-10,1373
5000,8000,0,1278
5000,8000,10,1030
5000,8000,20,871
5000,8000,30,676
5000,8000,40,488
5000,8000,43,436
5000,9000,-40,1451
5000,9000,-30,1451
5000,9000,-20,1390
5000,9000,-10,1311
5000,9000,0,1207
5000,9000,10,963
5000,9000,20,808
5000,9000,30,620
5000,9000,40,437
5000,9000,42,403
5000,10000,-40,1456
5000,10000,-30,1398
5000,10000,-20,1327
5000,10000,-10,1251
5000,10000,0,1137
5000,10000,10,900
5000,10000,20,745
5000,10000,30,564
5000,10000,40,386
5000,10000,41,369
5500,0,-40,1421
5500,0,-30,1420
5500,0,-20,1419
5500,0,-10,1418
5500,0,0,1415
5500,0,10,1411
5500,0,20,1302
5500,0,30,1084
5500,0,40,891
5500,0,50,714
5500,1000,-40,1422
5500,1000,-30,1423
5500,1000,-20,1421
5500,1000,-10,1420
5500,1000,0,1417
5500,1000,10,1414
5500,1000,20,1271
5500,1000,30,1058
5500,1000,40,868
5500,1000,50,692
5500,2000,-40,1428
5500,2000,-30,1427
5500,2000,-20,1426
5500,2000,-10,1426
5500,2000,0,1422
5500,2000,10,1419
5500,2000,20,1224
5500,2000,30,1018
5500,2000,40,829
5500,2000,48,689
5500,3000,-40,1435
5500,3000,-30,1435
5500,3000,-20,1434
5500,3000,-10,1432
5500,3000,0,1428
5500,3000,10,1378
5500,3000,20,1178
5500,3000,30,978
5500,3000,40,791
5500,3000,47,670
5500,4000,-40,1445
5500,4000,-30,1444
5500,4000,-20,1443
5500,4000,-10,1440
5500,4000,0,1438
5500,4000,10,1325
5500,4000,20,1132
5500,4000,30,936
5500,4000,40,753
5500,4000,45,667
5500,5000,-40,1225
5500,5000,-30,1225
5500,5000,-20,1224
5500,5000,-10,1222
5500,5000,0,1219
5500,5000,10,1052
5500,5000,20,868
5500,5000,30,681
5500,5000,40,504
5500,5000,45,423
5500,6000,-40,1237
