weight,altitude,temperature,value
4500,0,-40,3238
4500,0,-30,3170
4500,0,-20,3104
4500,0,-10,3043
4500,0,0,2982
4500,0,10,2921
4500,0,20,2667
4500,0,30,2225
4500,0,40,1841
4500,0,50,1499
4500,1000,-40,3281
4500,1000,-30,3212
4500,1000,-20,3145
4500,1000,-10,3083
4500,1000,0,3021
4500,1000,10,2958
4500,1000,20,2640
4500,1000,30,2203
4500,1000,40,1821
4500,1000,50,1478
4500,2000,-40,3332
4500,2000,-30,3260
4500,2000,-20,3194
4500,2000,-10,3130
4500,2000,0,3067
4500,2000,10,3003
4500,2000,20,2583
4500,2000,30,2154
4500,2000,40,1772
4500,2000,48,1497
4500,3000,-40,3387
4500,3000,-30,3314
4500,3000,-20,3246
4500,3000,-10,3180
4500,3000,0,3115
4500,3000,10,2991
4500,3000,20,2525
4500,3000,30,2104
4500,3000,40,1724
4500,3000,47,1483
4500,4000,-40,3449
4500,4000,-30,3375
4500,4000,-20,3305
4500,4000,-10,3237
4500,4000,0,3171
4500,4000,10,2893
4500,4000,20,2466
4500,4000,30,2051
4500,4000,40,1672
4500,4000,45,1500
4500,5000,-40,3001
4500,5000,-30,2937
4500,5000,-20,2876
4500,5000,-10,2816
4500,5000,0,2758
4500,5000,10,2374
4500,5000,20,1972
4500,5000,30,1578
4500,5000,40,1216
4500,5000,45,1053
4500,6000,-40,3064
4500,6000,-30,3000
4500,6000,-20,2938
4500,6000,-10,2877
4500,6000,0,2819
4500,6000,10,2323
4500,6000,20,1927
4500,6000,30,1537
4500,6000,40,1179
4500,6000,44,1049
4500,7000,-40,3131
4500,7000,-30,3064
4500,7000,-20,3000
4500,7000,-10,2938
4500,7000,0,2747
4500,7000,10,2218
4500,7000,20,1833
4500,7000,30,1452
4500,7000,40,1100
4500,7000,44,973
4500,8000,-40,3127
4500,8000,-30,3060
4500,8000,-20,2996
4500,8000,-10,2819
4500,8000,0,2585
4500,8000,10,2071
4500,8000,20,1751
4500,8000,30,1367
4500,8000,40,1008
4500,8000,43,910
4500,9000,-40,3196
4500,9000,-30,3128
4500,9000,-20,2945
4500,9000,-10,2732
4500,9000,0,2478
4500,9000,10,1970
4500,9000,20,1653
4500,9000,30,1280
4500,9000,40,928
4500,9000,42,864
4500,10000,-40,3246
4500,10000,-30,3059
4500,10000,-20,2854
4500,10000,-10,2646
4500,10000,0,2373
4500,10000,10,1872
4500,10000,20,1557
4500,10000,30,1193
4500,10000,40,847
4500,10000,41,816
5000,0,-40,2795
5000,0,-30,2737
5000,0,-20,2679
5000,0,-10,2626
5000,0,0,2574
5000,0,10,2521
5000,0,20,2295
5000,0,30,1899
5000,0,40,1554
5000,0,50,1248
5000,1000,-40,2832
5000,1000,-30,2772
5000,1000,-20,2714
5000,1000,-10,2660
5000,1000,0,2607
5000,1000,10,2553
5000,1000,20,2268
5000,1000,30,1877
5000,1000,40,1535
5000,1000,50,1228
5000,2000,-40,2876
5000,2000,-30,2813
5000,2000,-20,2756
5000,2000,-10,2701
5000,2000,0,2646
5000,2000,10,2591
5000,2000,20,2215
5000,2000,30,1831
5000,2000,40,1489
5000,2000,48,1242
5000,3000,-40,2923
5000,3000,-30,2859
5000,3000,-20,2800
5000,3000,-10,2744
5000,3000,0,2687
5000,3000,10,2551
5000,3000,20,2161
5000,3000,30,1784
5000,3000,40,1443
5000,3000,47,1227
5000,4000,-40,2976
5000,4000,-30,2912
5000,4000,-20,2851
5000,4000,-10,2793
5000,4000,0,2736
5000,4000,10,2487
5000,4000,20,2105
5000,4000,30,1734
5000,4000,40,1395
5000,4000,45,1241
5000,5000,-40,2573
5000,5000,-30,2518
5000,5000,-20,2466
5000,5000,-10,2414
5000,5000,0,2364
5000,5000,10,2021
5000,5000,20,1661
5000,5000,30,1308
5000,5000,40,984
5000,5000,45,839
5000,6000,-40,2628
5000,6000,-30,2572
5000,6000,-20,2519
5000,6000,-10,2467
5000,6000,0,2417
5000,6000,10,1973
5000,6000,20,1619
5000,6000,30,1270
5000,6000,40,949
5000,6000,44,833
5000,7000,-40,2685
5000,7000,-30,2628
5000,7000,-20,2573
5000,7000,-10,2519
5000,7000,0,2350
5000,7000,10,1876
5000,7000,20,1532
5000,7000,30,1191
5000,7000,40,876
5000,7000,44,762
5000,8000,-40,2682
5000,8000,-30,2625
