weight,altitude,temperature,value
5000,0,-20,2147
5000,0,-10,2232
5000,0,0,2320
5000,0,10,2412
5000,0,20,2706
5000,0,30,3388
5000,0,40,4257
5000,0,50,5417
5000,1000,-20,2237
5000,1000,-10,2326
5000,1000,0,2418
5000,1000,10,2515
5000,1000,20,2900
5000,1000,30,3629
5000,1000,40,4560
5000,1000,50,5821
5000,2000,-20,2328
5000,2000,-10,2421
5000,2000,0,2518
5000,2000,10,2618
5000,2000,20,3153
5000,2000,30,3945
5000,2000,40,4975
5000,2000,50,6370
5000,3000,-20,2420
5000,3000,-10,2518
5000,3000,0,2619
5000,3000,10,2820
5000,3000,20,3433
5000,3000,30,4297
5000,3000,40,5437
5000,3000,50,6980
5000,4000,-20,2515
5000,4000,-10,2617
5000,4000,0,2721
5000,4000,10,3076
5000,4000,20,3741
5000,4000,30,4688
5000,4000,40,5948
5000,4000,50,7657
5000,5000,-20,2613
5000,5000,-10,2718
5000,5000,0,2825
5000,5000,10,3332
5000,5000,20,4049
5000,5000,30,5077
5000,5000,40,6452
5000,5000,50,8315
5000,6000,-20,2705
5000,6000,-10,2814
5000,6000,0,2953
5000,6000,10,3645
5000,6000,20,4429
5000,6000,30,5561
5000,6000,40,7090
5000,6000,50,9153
5000,7000,-20,2810
5000,7000,-10,2945
5000,7000,0,3231
5000,7000,10,4039
5000,7000,20,4915
5000,7000,30,6174
5000,7000,40,7899
5000,7000,50,10254
5000,8000,-20,2966
5000,8000,-10,3261
5000,8000,0,3577
5000,8000,10,4533
5000,8000,20,5523
5000,8000,30,6942
5000,8000,40,8910
5000,8000,50,11629
5000,9000,-20,3313
5000,9000,-10,3643
5000,9000,0,4026
5000,9000,10,5129
5000,9000,20,6261
5000,9000,30,7878
5000,9000,40,10152
5000,9000,50,13204
5000,10000,-20,3702
5000,10000,-10,4071
5000,10000,0,4548
5000,10000,10,5800
5000,10000,20,7099
5000,10000,30,8951
5000,10000,40,11579
5000,10000,50,14932
5500,0,-20,2458
5500,0,-10,2555
5500,0,0,2656
5500,0,10,2761
5500,0,20,3099
5500,0,30,3885
5500,0,40,4887
5500,0,50,6227
5500,1000,-20,2561
5500,1000,-10,2663
5500,1000,0,2769
5500,1000,10,2879
5500,1000,20,3322
5500,1000,30,4163
5500,1000,40,5236
5500,1000,50,6693
5500,2000,-20,2666
5500,2000,-10,2772
5500,2000,0,2882
5500,2000,10,2998
5500,2000,20,3613
5500,2000,30,4526
5500,2000,40,5714
5500,2000,50,7327
5500,3000,-20,2771
5500,3000,-10,2883
5500,3000,0,2998
5500,3000,10,3230
5500,3000,20,3935
5500,3000,30,4931
5500,3000,40,6247
5500,3000,50,8031
5500,4000,-20,2880
5500,4000,-10,2996
5500,4000,0,3116
5500,4000,10,3523
5500,4000,20,4290
5500,4000,30,5381
5500,4000,40,6836
5500,4000,50,8813
5500,5000,-20,2991
5500,5000,-10,3112
5500,5000,0,3234
5500,5000,10,3818
5500,5000,20,4643
5500,5000,30,5829
5500,5000,40,7417
5500,5000,50,9572
5500,6000,-20,3097
5500,6000,-10,3222
5500,6000,0,3381
5500,6000,10,4178
5500,6000,20,5081
5500,6000,30,6387
5500,6000,40,8153
5500,6000,50,10540
5500,7000,-20,3217
5500,7000,-10,3372
5500,7000,0,3700
5500,7000,10,4631
5500,7000,20,5641
5500,7000,30,7094
5500,7000,40,9088
5500,8000,-20,3395
5500,8000,-10,3735
5500,8000,0,4098
5500,8000,10,5200
5500,8000,20,6342
5500,8000,30,7980
5500,8000,40,10256
5500,9000,-20,3794
5500,9000,-10,4174
5500,9000,0,4615
5500,9000,10,5885
5500,9000,20,7192
5500,9000,30,9060
5500,9000,40,11690
5500,10000,-20,4242
5500,10000,-10,4665
5500,10000,0,5215
5500,10000,10,6658
5500,10000,20,8157
5500,10000,30,10298
5500,10000,40,13340
6000,0,-20,2789
6000,0,-10,2900
6000,0,0,3014
6000,0,10,3133
6000,0,20,3519
6000,0,30,4415
6000,0,40,5561
6000,0,50,7093
6000,1000,-20,2907
6000,1000,-10,3022
6000,1000,0,3142
6000,1000,10,3268
6000,1000,20,3773
6000,1000,30,4732
6000,1000,40,5959
6000,1000,50,7626
6000,2000,-20,3025
6000,2000,-10,3146
6000,2000,0,3271
6000,2000,10,3402
6000,2000,20,4104
6000,2000,30,5147
6000,2000,40,6505
6000,2000,50,8350
6000,3000,-20,3145
6000,3000,-10,3272
6000,3000,0,3403
6000,3000,10,3666
6000,3000,20,4471
6000,3000,30,5609
6000,3000,40,7113
6000,3000,50,9156
6000,4000,-20,3268
6000,4000,-10,3400
6000,4000,0,3536
6000,4000,10,4000
6000,4000,20,4875
6000,4000,30,6122
6000,4000,40,7787
6000,4000,50,10051
6000,5000,-20,3395
6000,5000,-10,3532
6000,5000,0,3670
6000,5000,10,4336
6000,5000,20,5278
6000,5000,30,6634
6000,5000,40,8451
6000,6000,-20,3515
6000,6000,-10,3657
6000,6000,0,3838
6000,6000,10,4747
6000,6000,20,5778
6000,6000,30,7271
6000,6000,40,9292
6000,7000,-20,3651
6000,7000,-10,3827
6000,7000,0,4201
6000,7000,10,5263
6000,7000,20,6416
6000,7000,30,8078
6000,7000,40,10361
6000,8000,-20,3853
6000,8000,-10,4241
6000,8000,0,4654
6000,8000,10,5912
6000,8000,20,7216
6000,8000,30,9091
6000,8000,40,11698
6000,9000,-20,4308
6000,9000,-10,4740
6000,9000,0,5242
6000,9000,10,6693
6000,9000,20,8187
6000,9000,30,10325
6000,10000,-20,4817
6000,10000,-10,5299
6000,10000,0,5926
6000,10000,10,7575
6000,10000,20,9289
6000,10000,30,11741
